CO,NO2,O3,SO2,PM2.5,PM10,City
171.9,4.97,77.96,4.65,1.55,2.56,Saint Petersburg
193.6,0.34,56.51,0.1,5.11,12.43,Casas Adobes
216.96,2.36,72.96,0.67,5.36,12.01,Gilbert
151.87,0.34,52.93,0.01,0.5,0.52,Fargo
176.91,1.65,77.96,0.59,3.16,3.34,Kansas City
183.58,3.77,98.71,2.53,3.95,7.3,Berkeley
175.24,2.7,113.01,2.21,7.09,13.88,Santa Clara
176.91,1.65,77.96,0.59,3.16,3.34,Kansas City
155.21,1.31,44.35,2.5,0.5,0.61,Maple Grove
220.3,2.23,45.78,0.24,1.12,1.25,Lynchburg
220.3,10.88,83.69,2.33,7.16,16.3,Newark
213.62,1.21,84.4,0.28,5.37,5.66,Peoria
240.33,4.16,65.09,1.06,2.63,3.39,Hampton
200.27,3.3,133.04,2.15,8.5,10.33,Lakewood
216.96,1.97,76.53,0.69,5.06,10.54,Mesa
226.97,0.36,27.54,0.13,0.83,1.16,Bryan
243.66,4.54,53.64,1.12,1.34,2.09,Garland
243.66,0.71,82.25,0.37,4.77,5.1,Springfield
173.57,1.93,77.25,0.45,3.35,3.99,Tacoma
163.56,2.72,43.27,1.59,0.5,0.62,Eagan
230.31,0.87,72.96,0.81,3.35,4.37,Fort Smith
211.95,2.83,27.18,1.13,2.18,4.6,Carmichael
168.56,0.64,79.39,1.13,3.53,5.89,Daly City
181.91,1.24,143.05,1.54,9.82,18.07,Murrieta
168.56,2.1,124.45,2.35,6.64,10.04,Brentwood
178.58,4.71,86.55,1.09,2.79,6.51,Quincy
165.22,0.5,103.0,1.07,5.1,7.2,Boulder
213.62,0.33,31.83,0.04,0.5,0.68,Dothan
240.33,2.68,77.96,0.44,1.96,2.17,Antioch
158.55,0.45,75.82,0.32,2.29,2.86,Madison
178.58,0.99,148.77,1.1,6.13,8.19,Victorville
148.54,0.66,70.81,1.64,1.03,2.02,Billings
220.3,3.26,47.92,0.72,0.65,0.88,Sandy Springs
160.22,0.56,67.23,0.06,2.88,5.66,Iowa City
250.34,4.33,78.68,0.71,6.22,6.73,Largo
226.97,1.13,55.08,0.65,1.56,2.16,Shreveport
240.33,0.71,41.13,0.23,1.1,1.43,Round Rock
230.31,2.79,57.22,0.25,1.51,1.87,Richmond
198.6,1.56,52.21,0.5,1.36,1.52,Columbia
160.22,0.74,111.58,0.91,3.23,7.41,Sandy
226.97,1.82,38.98,0.22,1.01,1.36,Hoover
226.97,7.45,220.3,11.09,19.28,29.97,Fullerton
145.2,0.22,64.37,0.01,0.5,1.09,Rapid City
188.59,5.01,141.62,6.26,8.31,16.42,Newport Beach
247.0,2.31,66.52,1.07,1.3,1.42,Columbus
205.28,1.78,55.79,0.18,4.59,4.69,Palm Coast
195.27,4.93,77.25,1.06,4.5,4.92,Albany
233.65,3.73,240.33,7.57,25.0,35.35,Jurupa Valley
161.89,1.46,82.25,0.3,2.96,6.19,Providence
240.33,2.1,67.95,0.54,5.84,6.15,Scranton
257.02,1.76,62.23,0.21,3.09,3.13,Rochester
257.02,1.97,70.81,0.43,4.48,4.54,Buffalo
230.31,2.79,57.22,0.25,1.51,1.87,Richmond
188.59,5.01,141.62,6.26,8.31,16.42,Santa Ana
155.21,1.02,79.39,1.01,3.4,8.29,Sunnyvale
173.57,1.16,87.26,0.58,3.05,3.32,Milwaukee
243.66,1.46,77.96,1.12,2.75,3.2,Conroe
206.95,1.8,42.2,0.48,1.12,1.32,Savannah
128.51,1.0,21.28,0.08,4.62,6.29,German
188.59,5.01,141.62,6.26,8.31,16.42,Costa Mesa
270.37,1.56,103.0,0.61,4.18,4.25,Westland
208.62,14.05,51.5,2.65,7.04,9.1,Waldorf
160.22,0.46,62.94,0.03,2.52,3.89,Cedar Rapids
195.27,4.93,77.25,1.06,4.5,4.92,Troy
185.25,4.63,80.11,2.03,4.53,5.71,Kirkland
158.55,0.41,105.86,0.78,5.09,8.47,Santa Barbara
196.93,1.09,90.84,0.19,4.6,4.74,Lake Forest
193.6,0.34,56.51,0.1,5.11,12.43,Tucson
151.87,0.46,101.57,0.22,2.84,5.01,Boise
216.96,0.95,91.55,0.21,5.38,5.64,Joliet
213.62,1.27,46.49,0.61,2.21,3.79,Metairie
230.31,3.6,228.88,5.31,23.71,32.42,Moreno Valley
236.99,1.71,114.44,2.77,8.68,8.9,Wyoming
220.3,1.74,71.53,0.34,3.08,3.85,Norman
230.31,2.21,75.82,0.6,2.04,2.8,Frisco
236.99,0.66,95.84,1.43,6.27,7.5,Jonesboro
243.66,0.71,82.25,0.37,4.77,5.1,Springfield
230.31,1.04,55.08,1.3,2.89,5.82,Mission
200.27,0.59,63.66,0.07,1.88,2.18,Midland
