CO,NO2,O3,SO2,PM2.5,PM10,City
270.37,1.37,110.15,0.63,4.37,4.44,Ann Arbor
151.87,0.14,32.19,0.14,1.06,1.74,Bayamón
236.99,3.13,108.72,2.59,5.82,6.42,Hammond
226.97,1.13,55.08,0.65,1.56,2.16,Bossier City
170.23,0.62,82.97,0.91,5.51,15.45,Salinas
220.3,10.88,83.69,2.33,7.16,16.3,New York
156.88,0.27,45.78,0.02,0.5,0.52,Eau Claire
273.71,2.29,100.14,0.7,3.75,3.84,Sterling Heights
236.99,4.46,52.21,0.97,1.73,2.95,Miami Beach
250.34,12.68,41.13,4.23,6.23,7.1,Victoria
161.89,0.85,67.23,0.23,2.3,3.27,Des Moines
205.28,1.48,90.84,0.3,4.36,4.59,Bolingbrook
253.68,1.31,75.1,0.61,6.11,6.25,Bloomington
220.3,1.61,55.79,0.1,2.79,2.89,The Villages
173.57,1.19,100.14,1.77,5.15,10.02,Oxnard
165.22,1.44,121.59,1.25,4.13,8.4,West Valley City
160.22,0.58,80.11,0.35,2.02,2.47,Appleton
201.94,1.46,45.42,0.06,0.8,0.87,Gastonia
216.96,3.21,39.34,0.21,2.22,2.5,Deltona
205.28,2.53,39.7,0.14,0.61,0.75,Greenville
165.22,1.44,121.59,1.25,4.13,8.4,Salt Lake City
168.56,6.86,78.68,3.22,3.19,4.94,Westminster
155.21,0.77,80.82,1.36,3.54,8.87,Bayonne
243.66,3.73,52.21,1.03,2.74,3.62,Homestead
230.31,2.34,27.54,0.19,0.92,1.14,Jackson
171.9,0.72,115.87,1.64,7.37,13.3,Camarillo
180.24,0.42,79.39,0.23,3.11,6.26,Santa Fe
247.0,2.46,97.28,0.81,5.49,6.86,Little Rock
178.58,4.71,86.55,1.09,2.79,6.51,Boston
188.59,9.0,90.84,2.59,2.64,5.47,Lynn
183.58,0.64,34.69,0.05,0.79,1.03,Tallahassee
240.33,1.63,43.27,1.09,1.37,1.68,San Antonio
253.68,1.33,94.41,0.6,2.3,2.47,Winston-Salem
198.6,1.0,44.35,0.05,0.99,1.06,Rock Hill
236.99,2.96,43.63,0.6,1.03,1.67,Dallas
216.96,1.71,69.38,0.13,0.56,0.86,Cary
213.62,1.71,103.0,0.35,10.4,11.09,Parma
247.0,1.34,82.25,0.69,5.34,5.51,Carmel
168.56,3.34,83.69,0.53,4.26,5.13,Saint Cloud
247.0,4.46,85.83,1.91,7.05,8.28,Delray Beach
240.33,4.2,80.11,1.45,6.27,6.98,West Palm Beach
175.24,0.71,153.07,0.84,7.72,8.79,Clovis
220.3,9.51,77.96,2.74,6.67,8.57,Seattle
216.96,2.27,71.53,1.01,4.48,13.55,El Paso
201.94,1.61,89.41,0.25,4.35,4.53,Arlington Heights
208.62,9.68,91.55,2.38,8.4,19.57,New Rochelle
161.89,5.66,92.98,3.31,3.8,9.0,Saint Joseph
205.28,0.55,82.97,0.07,4.88,11.16,Surprise
226.97,1.34,71.53,0.45,1.99,2.67,Flower Mound
253.68,1.31,75.1,0.61,6.11,6.25,Bloomington
216.96,0.86,54.36,0.17,1.37,1.75,Newport News
185.25,0.78,85.12,0.1,4.09,4.22,Elgin
190.26,2.7,97.28,0.73,7.3,14.9,Bridgeport
180.24,1.67,150.2,1.94,11.36,16.48,Tracy
165.22,0.56,111.58,1.18,3.12,7.01,Orem
191.93,2.96,97.28,0.89,7.43,15.82,Stamford
203.61,0.52,38.27,0.04,0.57,0.87,Warner Robins
236.99,2.96,69.38,0.91,1.67,2.36,Allen
253.68,6.77,57.22,1.51,3.49,4.46,Sunrise
233.65,1.34,50.07,2.18,2.95,5.83,Pharr
175.24,2.91,105.86,1.97,4.94,10.56,Milpitas
220.3,11.31,88.69,2.68,7.43,16.21,Passaic
158.55,0.64,80.11,1.13,2.82,3.22,Lawrence
210.29,5.14,85.83,1.03,5.81,13.4,East Orange
180.24,3.17,85.12,2.12,3.79,6.55,Alameda
183.58,4.5,117.3,4.47,6.65,14.34,South Gate
257.02,1.76,62.23,0.21,3.09,3.13,Rochester
161.89,1.52,53.64,0.03,1.07,2.08,San Ramon
220.3,1.78,65.09,0.85,0.83,1.21,Durham
233.65,2.16,47.21,1.45,3.93,9.18,League City
170.23,1.82,137.33,1.37,4.51,5.9,Folsom
317.1,19.54,113.01,2.59,8.07,8.52,Alafaya
243.66,4.54,53.64,1.12,1.34,2.09,Richardson
191.93,0.86,88.69,0.15,3.98,4.17,Aurora
190.26,1.74,171.66,3.37,12.41,15.17,Palmdale
230.31,3.6,228.88,5.31,23.71,32.42,Riverside
240.33,4.63,81.54,1.03,3.27,4.31,Gaithersburg
247.0,8.4,82.25,3.01,6.56,9.46,Camden
161.89,10.11,43.27,1.7,1.44,1.85,Manchester
226.97,2.34,85.83,1.86,3.48,4.14,Lancaster
173.57,4.41,66.52,1.37,2.3,4.44,Weston
247.0,2.96,67.95,0.75,1.27,1.53,Greensboro
213.62,9.51,161.65,9.78,11.5,20.16,Bellflower
186.92,0.56,73.67,0.31,3.08,9.03,Albuquerque
146.87,0.75,30.04,0.54,0.5,0.73,Duluth
175.24,4.41,83.69,0.83,3.11,7.45,Pawtucket
133.51,0.22,87.98,0.22,1.66,2.03,Reno
151.87,0.14,32.19,0.14,1.06,1.74,Guaynabo
250.34,5.48,92.98,3.67,7.32,8.4,Memphis
178.58,3.21,117.3,2.53,6.32,7.97,Highlands Ranch
220.3,5.91,70.81,3.07,6.09,6.39,Jacksonville
236.99,6.17,237.47,9.78,24.96,34.3,El Monte
195.27,1.74,178.81,2.83,10.33,14.69,Santa Clarita
153.54,0.59,73.67,0.22,1.78,2.12,Hillsboro
155.21,0.51,84.4,0.73,6.07,14.19,Vista
181.91,1.36,128.75,0.45,1.91,4.11,Las Vegas
193.6,1.93,164.51,3.37,15.21,18.71,Turlock
170.23,0.63,154.5,0.72,5.65,6.66,Chico
205.28,1.48,90.84,0.3,4.36,4.59,Naperville
213.62,0.25,51.5,0.1,4.86,13.87,Yuma
210.29,0.67,77.25,0.07,4.92,10.49,Goodyear
200.27,3.3,133.04,2.15,8.5,10.33,Lakewood
240.33,2.68,77.96,0.44,1.96,2.17,Nashville
151.87,0.14,32.19,0.14,1.06,1.74,Caguas
190.26,6.0,86.55,2.24,5.09,6.29,Federal Way
213.62,9.51,161.65,9.78,11.5,20.16,Downey
236.99,3.3,64.37,0.64,1.66,2.45,Irving
166.89,0.62,82.97,0.53,3.16,3.43,Waukesha
186.92,5.18,98.71,1.45,3.86,8.58,Palo Alto
185.25,2.34,171.66,2.24,12.66,17.28,Stockton
240.33,1.1,37.55,0.29,1.06,1.37,Austin
185.25,1.29,115.87,1.42,5.27,7.29,Broomfield
247.0,8.4,82.25,3.01,6.56,9.46,Philadelphia
247.0,2.31,66.52,1.07,1.3,1.42,Columbus
156.88,3.13,60.8,0.42,0.83,1.28,Reading
170.23,1.74,103.0,1.67,5.64,14.4,Mission Viejo
213.62,1.27,46.49,0.61,2.21,3.79,New Orleans
163.56,2.72,43.27,1.59,0.5,0.62,Saint Paul
171.9,1.21,108.72,1.74,6.32,12.61,Thousand Oaks
150.2,0.15,32.54,0.13,1.12,1.89,Carolina
166.89,5.23,101.57,2.03,8.71,12.2,Kent
273.71,12.68,33.26,3.16,1.98,4.37,Melbourne
158.55,1.97,42.56,1.61,0.5,0.64,Minneapolis
166.89,0.56,103.0,1.43,7.04,13.26,San Buenaventura
226.97,0.78,37.91,0.48,3.21,6.81,Harlingen
183.58,4.63,98.71,3.1,5.08,8.86,San Leandro
223.64,0.37,31.83,0.28,0.87,1.25,Tyler
183.58,4.5,117.3,4.47,6.65,14.34,Lynwood
193.6,1.78,39.7,0.64,1.22,1.44,Gainesville
257.02,8.74,51.5,1.43,2.54,3.39,Miami Gardens
236.99,4.63,251.77,9.89,24.74,36.3,Chino Hills
143.53,0.08,22.89,0.08,0.63,1.08,Ponce
